,epoch,epoch_time,valid_mse,valid_mae,valid_loss,torch_memory
0,0,123.758,0.000818,0.009254,0.083455,2452798976
1,1,129.704,0.000135,0.003581,0.081172,2452798976
2,2,128.381,0.000166,0.004004,0.081174,2452798976
3,3,130.836,0.00015,0.004022,0.081117,2452802560
4,4,129.217,0.000268,0.004723,0.081343,2452802560
5,5,130.805,6.8e-05,0.002517,0.080795,2452806144
6,6,131.162,4.4e-05,0.002028,0.080733,2452809728
7,7,130.903,4.3e-05,0.00196,0.080702,2452798976
8,8,130.432,3.2e-05,0.001811,0.080692,2452802560
9,9,130.615,3.3e-05,0.001704,0.080657,2452806144
10,10,130.967,2.5e-05,0.001464,0.080639,2452809728
11,11,129.277,3.3e-05,0.001712,0.080677,2452809728
12,12,131.006,2.4e-05,0.001461,0.080608,2452813312
13,13,129.082,2.8e-05,0.001598,0.080656,2452813312
14,14,129.13,2.4e-05,0.00143,0.080646,2452813312
15,15,129.222,2.5e-05,0.001465,0.080647,2452813312
16,16,129.35,2.3e-05,0.001416,0.080625,2452813312
17,17,129.111,2.9e-05,0.001558,0.080643,2452813312
18,test,9.515,6.147632903990096e-05,0.0017538136037110236,0.07724819684028625,2452813312
