,epoch,epoch_time,valid_mse,valid_mae,valid_loss,torch_memory
0,0,124.647,0.023505,0.116849,0.108458,2452795392
1,1,123.344,0.025645,0.118959,0.109907,2452795392
2,2,123.543,0.029657,0.123983,0.112064,2452795392
3,3,123.274,0.034579,0.127431,0.114265,2452795392
4,4,123.177,0.033701,0.124679,0.117461,2452795392
5,5,123.249,0.036206,0.128116,0.120498,2452795392
6,6,123.333,0.034987,0.125554,0.121935,2452795392
7,7,123.275,0.034608,0.123339,0.123144,2452795392
8,8,123.481,0.033939,0.123574,0.126053,2452795392
9,9,123.316,0.035287,0.12256,0.133386,2452795392
10,10,123.178,0.034029,0.118829,0.133685,2452795392
11,assert_min_valid_loss,8.772,,,0.10845849609375,3056263680
12,assert_checked_valid_loss,8.772,,,0.10845849609375,
13,test,8.676,0.019741872120648624,0.11306320983171463,0.10576123046875,3056263680
