,epochs,steps,valid_similarity_score,valid_mse,valid_mae,test_time
0,0.33,125,0.731442,0.193148,0.365298,
1,0.67,250,0.769659,0.170013,0.34602,
2,1.0,375,0.751993,0.153077,0.330288,
3,1.33,500,0.786648,0.12873,0.304728,
4,1.67,625,0.806393,0.124133,0.298709,
5,2.0,750,0.81536,0.086893,0.250134,
6,2.33,875,0.824599,0.077497,0.236996,
7,2.67,1000,0.810335,0.065231,0.216665,
8,3.0,1125,0.829872,0.101137,0.26935,
9,3.33,1250,0.822342,0.075077,0.22826,
10,3.67,1375,0.822568,0.056068,0.195917,
11,4.0,1500,0.831605,0.046377,0.17602,
12,4.33,1625,0.825609,0.047295,0.175619,
13,4.67,1750,0.833838,0.045258,0.169266,
14,5.0,1875,0.844072,0.041737,0.161654,
15,5.33,2000,0.84029,0.035962,0.146193,
16,5.67,2125,0.839481,0.037,0.14779,
17,6.0,2250,0.852058,0.038383,0.15212,
18,6.33,2375,0.848498,0.035561,0.146808,
19,6.67,2500,0.854292,0.036264,0.148196,
20,7.0,2625,0.859501,0.035222,0.147231,
21,7.33,2750,0.850486,0.035172,0.145789,
22,7.67,2875,0.847032,0.035714,0.149133,
23,8.0,3000,0.848279,0.037628,0.152972,
24,8.33,3125,0.842655,0.035614,0.1487,
25,8.67,3250,0.848002,0.033714,0.14233,
26,9.0,3375,0.850712,0.033471,0.143054,
27,9.33,3500,0.852445,0.034429,0.146214,
28,9.67,3625,0.850647,0.034952,0.147686,
29,10.0,3750,0.85367,0.033898,0.144328,
30,10.33,3875,0.853169,0.033837,0.144769,
31,10.67,4000,0.854082,0.033462,0.144748,
32,11.0,4125,0.853365,0.033658,0.145032,
33,11.33,4250,0.854245,0.03346,0.14447,
34,11.67,4375,0.853492,0.033455,0.144159,
35,12.0,4500,0.853714,0.033476,0.144184,
36,test,test,,0.022587,0.117986,28.358
