,epoch,epoch_time,valid_mse,valid_mae,valid_loss,torch_memory
0,0,124.638,0.028065,0.131416,0.110627,2452795392
1,1,125.154,0.021127,0.106507,0.105996,2452795392
2,2,123.255,0.021699,0.106171,0.106237,2452795392
3,3,123.459,0.02109,0.102089,0.106619,2452795392
4,4,123.472,0.027036,0.109992,0.112517,2452795392
5,5,123.458,0.022271,0.100428,0.112,2452795392
6,6,123.406,0.022139,0.09956,0.111472,2452795392
7,7,123.248,0.024003,0.101285,0.117332,2452795392
8,8,123.243,0.023166,0.09918,0.115651,2452795392
9,9,123.243,0.021423,0.097054,0.115521,2452795392
10,10,123.354,0.022151,0.096435,0.118982,2452795392
11,11,123.208,0.02239,0.098866,0.119864,2452795392
12,assert_min_valid_loss,8.628,,,0.105996337890625,3056263680
13,assert_checked_valid_loss,8.628,,,0.105996337890625,
14,test,8.645,0.01744914770242758,0.09564003948867321,0.10192626953125,3056263680
