,epoch,epoch_time,valid_mse,valid_mae,valid_loss,torch_memory
0,0,124.663,0.013199,0.076685,0.095481,2452795392
1,1,125.106,0.010516,0.066722,0.09285,2452795392
2,2,123.409,0.011395,0.067798,0.093451,2452795392
3,3,123.228,0.01224,0.067128,0.094532,2452795392
4,4,123.29,0.014564,0.074912,0.096626,2452795392
5,5,123.136,0.013395,0.070707,0.096943,2452795392
6,6,123.395,0.012329,0.068941,0.09432,2452795392
7,7,123.402,0.013263,0.07119,0.097638,2452795392
8,8,123.499,0.012749,0.069043,0.098044,2452795392
9,9,123.62,0.013615,0.072419,0.09709,2452795392
10,10,123.37,0.013157,0.070539,0.098278,2452795392
11,11,123.572,0.012788,0.068577,0.09875,2452795392
12,assert_min_valid_loss,8.646,,,0.09285020446777344,3056263680
13,assert_checked_valid_loss,8.646,,,0.09285020446777344,
14,test,8.672,0.010563120093662292,0.06978511421382427,0.092696044921875,3056263680
