,epoch,epoch_time,valid_mse,valid_mae,valid_loss,torch_memory
0,0,127.367,0.015739,0.087412,0.096669,2452795392
1,1,127.485,0.012415,0.068271,0.093677,2452795392
2,2,127.545,0.009657,0.056554,0.090499,2452795392
3,3,127.865,0.008226,0.048208,0.090151,2452795392
4,4,127.721,0.008131,0.04761,0.089969,2452795392
5,5,127.668,0.007177,0.042156,0.08973,2452795392
6,6,125.992,0.007509,0.041623,0.089941,2452795392
7,7,126.09,0.006955,0.040437,0.089854,2452795392
8,8,126.324,0.007498,0.041284,0.090046,2452795392
9,9,126.248,0.007056,0.040055,0.090243,2452795392
10,10,126.342,0.007245,0.040236,0.090468,2452795392
11,11,126.052,0.007158,0.040044,0.090512,2452795392
12,12,126.091,0.007309,0.040077,0.090484,2452795392
13,13,126.097,0.007224,0.040245,0.090534,2452795392
14,14,125.724,0.007281,0.040085,0.090517,2452795392
15,15,125.79,0.007174,0.039983,0.09086,2452795392
16,assert_min_valid_loss,8.762,,,0.0897296142578125,3056263680
17,assert_checked_valid_loss,8.762,,,0.0897296142578125,
18,test,8.708,0.0072230300196679306,0.04096245239675045,0.08797998046875,3056263680
