,epochs,steps,valid_similarity_score,valid_mse,valid_mae,test_time
0,0.33,125,0.785711,0.163254,0.332623,
1,0.67,250,0.811318,0.138351,0.311036,
2,1.0,375,0.810581,0.166286,0.340188,
3,1.33,500,0.817477,0.139252,0.312166,
4,1.67,625,0.808233,0.092089,0.249848,
5,2.0,750,0.806395,0.090123,0.250364,
6,2.33,875,0.813951,0.071272,0.221374,
7,2.67,1000,0.811283,0.083406,0.238485,
8,3.0,1125,0.820937,0.076686,0.228006,
9,3.33,1250,0.806084,0.073643,0.221143,
10,3.67,1375,0.829678,0.053603,0.187619,
11,4.0,1500,0.834658,0.05469,0.190363,
12,4.33,1625,0.825639,0.05666,0.195244,
13,4.67,1750,0.821276,0.054049,0.18595,
14,5.0,1875,0.830499,0.050096,0.179926,
15,5.33,2000,0.830732,0.051845,0.184959,
16,5.67,2125,0.831587,0.046465,0.169983,
17,6.0,2250,0.8348,0.047858,0.173322,
18,6.33,2375,0.835617,0.044826,0.167851,
19,6.67,2500,0.836323,0.043975,0.170475,
20,7.0,2625,0.83454,0.043187,0.166718,
21,7.33,2750,0.826641,0.042655,0.162049,
22,7.67,2875,0.825811,0.043475,0.161671,
23,8.0,3000,0.822108,0.043738,0.161542,
24,8.33,3125,0.823622,0.046994,0.171707,
25,8.67,3250,0.824423,0.043583,0.160448,
26,9.0,3375,0.824678,0.043467,0.16354,
27,9.33,3500,0.830426,0.041546,0.156634,
28,9.67,3625,0.834571,0.041309,0.154629,
29,10.0,3750,0.834349,0.040006,0.154096,
30,10.33,3875,0.831973,0.04002,0.155047,
31,10.67,4000,0.828683,0.040774,0.158629,
32,11.0,4125,0.820011,0.042145,0.158141,
33,11.33,4250,0.831059,0.039453,0.156858,
34,11.67,4375,0.829469,0.039716,0.156035,
35,12.0,4500,0.828954,0.039467,0.154861,
36,12.33,4625,0.832855,0.03793,0.152133,
37,12.67,4750,0.841584,0.03721,0.15215,
38,13.0,4875,0.838425,0.037313,0.151417,
39,13.33,5000,0.831768,0.038409,0.152117,
40,13.67,5125,0.830924,0.038801,0.151379,
41,14.0,5250,0.827389,0.038661,0.15239,
42,14.33,5375,0.829794,0.038534,0.152081,
43,14.67,5500,0.830563,0.038482,0.153529,
44,15.0,5625,0.831952,0.038228,0.15323,
45,15.33,5750,0.83525,0.038017,0.152375,
46,15.67,5875,0.833573,0.038167,0.153552,
47,16.0,6000,0.834186,0.038121,0.153778,
48,16.33,6125,0.830238,0.038492,0.153413,
49,16.67,6250,0.831776,0.0382,0.153283,
50,17.0,6375,0.834917,0.037792,0.152879,
51,17.33,6500,0.833367,0.038092,0.153533,
52,17.67,6625,0.833057,0.037964,0.153942,
53,18.0,6750,0.833023,0.037994,0.153637,
54,18.33,6875,0.829543,0.038412,0.15402,
55,18.67,7000,0.829747,0.038344,0.153899,
56,19.0,7125,0.829431,0.038475,0.153809,
57,19.33,7250,0.830263,0.03839,0.15377,
58,19.67,7375,0.831004,0.038387,0.153789,
59,20.0,7500,0.830924,0.038371,0.153756,
60,test,test,,0.045276,0.160169,31.999
