,task_name,trial_no,elapsed_time,error_msg,leaked_cuda_memory
0,01_unnecessary_prints,1,2583.03,,0
1,01_similar_variables,1,3330.483,,0
2,01_names,1,1310.744,,0
3,01_return_matched_with_func_name,1,3339.887,,0
4,01_func_docstring_single_responsibility,1,4522.038,,0
5,01_func_docstring_docstring_and_name,1,7247.768,,0
6,04_func_args_bindable,1,868.788,,0
7,04_func_args_dynamic,1,869.256,,0
8,06_refactor_into_class_case_2_state_vars_if_else,1,1587.927,,0
9,06_similar_function_names,1,3338.717,,0
10,02_numeric_values_maybe_const,1,927.005,,0
11,02_numeric_values_twice,1,3377.417,,0
